S#,Name of Authors,Title of Research Paper,Journal Full Name,Name of Journal,IF,Source for verification,Year,Volume#,Page#,Category of Journal
191,"Naeem Ullah, M. Tuzen, T.G. Kazi, D. Citak, M. Soylak",Pressure assisted ionic-liquid dispersive microextraction for vanadium coupled to  electrothermal atomic absorption spectrometry,Journal of Analytical Atomic Spectrometry,J Anal Atom Spectrom,3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,1441-1445,
192,"Faheem Shah, M. Soylak, T.G. Kazi, H.I. Afridi, ",Preconcentration of lead from aqueous solution with activated carbon cloth prior to analysis by flame atomic absorption spectrometry: a multivariate study.,Journal of Analytical Atomic Spectrometry,J. Anal. At. Spectrom (2013),3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,601-605,
193,"Faheem Shah, M. Soylak, T.G. Kazi, H.I. Afridi,  ",Preconcentration of lead from aqueous solution with activated carbon cloth prior to analysis by flame atomic absorption spectrometry: a multivariate study.,Journal of Analytical Atomic Spectrometry,J. Anal. At. Spectrom doi:10.1039/C3JA30387,3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,601-605,
194,"NaeemUllah, M.Tuzen, T.G. Kazi, D. Citak, M. Soylak",Pressure assisted  ionic-liquid dispersive microextraction for vanadium coupled to  electrothermal atomic absorption spectrometry,Journal of Analytical Atomic Spectrometry,Journal of Analytical Atomic Spectrometry ,3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,141-1445,
126,"Sana Jawaid, Farah N Talpur, S T H Sherazi, Shafi M Nizamani, Abid A Khaskheli",Rapid detection of melamine adulteration in dairy milk by SB-ATR-Fourier transform infrared spectroscopy,Food Chemistry,Food Chem,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,141(3),3066,
127,"yaz Ali Memon, Najma Memon, Devanand L. Luthria, M. I. Bhanger","A., Assay of phenolic compounds from four species of Ber (Ziziphus mauritiana L.) Fruits: Comparison of three base hydrolysis procedures for quantification of total phenolic acids",Food Chemistry,Food Chem,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,139,496-502,
128,"Ayaz Ali Memon, Najma Memon, Devanand L. Luthria, M. I. Bhanger.,  ",Assay of phenolic compounds from four species of Ber (Ziziphus mauritiana L.) Fruits: Comparison of three base hydrolysis procedures for quantification of total phenolic acids,Food Chemistry,Food Chemistry,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,139,496–502,
129,"Sana Jawaid, F. N. Talpur, S.T.H. Sherazi,   ",Rapid detection of melamine adulteration in dairy milk by SB-ATR-Fourier transform infrared spectroscopy,Food Chemistry,Food Chemistry,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,141,3066-3071,
130," S. K. Wadhwa, M. Tuzen, T. G. Kazi, M. Soylak, B. Hazer, ","Polyhydroxybutyrate-b-polyethyleneglycol block copolymer for the solid phase extraction of lead and copper in water, baby foods, tea and coffee samples.",Food Chemistry,Food Chemistry (,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2014)  –,,152 75,
146,"Samejo, M.Q.; Memon, S.; Bhanger, M.I. and Khan, K.M",Synthesis of amino substituted p-tert-butylcalix[4]arene for the removal of Chicago Sky Blue and Tropaeolin 000 azo dyes from aqueous environment,Industrial Crops and Products," Ind. Crops Prod224 (1) 1424, 2013,
http://dx.doi:10.1007/s11270-012-1424 ",3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,45(1),293-295,
147,"amejo, M. Q., Memon, S., Bhanger, M. I. and Khan, K. M",Essential oil constituents of fruit and stem of Calligonum polygonoides,Industrial Crops and Products,. Industrial Crops and Products,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013," 45,",293-295,
148,"Laghari A.Q., Memon S., Nelofar A. and Laghari A.H",Tecomella undulata G. Don: A Rich Source of Flavonoids,Industrial Crops and Products,Ind. Crops Prod,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,43 (1) ,213-217,
149,"Laghari A.Q., Memon S., Nelofar A. and Laghari A.H. “ ",Tecomella undulata G. Don: A Rich Source of Flavonoids,Industrial Crops and Products,Ind. Crops Prod,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,43(1),213-217,
150,"Samejo, M.Q.; Memon, S.; Bhanger, M.I. and Khan, K.M. ",Essential oil constituents of fruit and stem of Calligonum polygonoides,Industrial Crops and Products,Ind. Crops Prod,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,45(1),293-295,
166,"AK Shah, ZM Ali, AR Memon, AJ Laghari, MA Mughal, SFA Shah,",Exploitation of Low Cost Coal Fly Ash Adsorbent with Coagulants for the Treatment of Industrial Complex Nature Dyes Wastewater. ,International Journal of Scientific & Engineering Research, ...International Journal of Scientific & Engineering Research,3.2,http://www.ijser.org/,2013,4(9),190-119 ,
167,"Moina Akhtar Mughal, Akhtar Mughal, Zeenat M. Ali, Ghulam Zuhra Memon, Mohammad Yar Khuhawar, Hussain Saleem     ","Pak-Japan  Relations: A multidimensional engagement"" Asia Pacific:",International Journal of Scientific & Engineering Research,International Journal of Scientific &amp; Engineering Research http://www.ijser.org  ,3.2,http://www.ijser.org/,2013,volume 4 issue 9,,
168,"Altaf H. Nizamani 1 , Saeed A. Buzdar 2 , Bilal Rasool 3 , Nek M. Shaikh 1 , Hussain Saleem ",Computer - Based Frequency Drift Control  of Multiple  LASER s in Real - Time ,International Journal of Scientific & Engineering Research,nternational Journal of Scientific & Engineering Researc,3.2,http://www.ijser.org/,2013,4, 2229 - 5518 ,
169,"Altaf H. Nizamani 1 , Bilal Rasool 2 , M uhammad Tahir 2 ,3 , Nek M. Shaikh 1 , Hussain ",Adiabatic ION Shuttling Protocols in  Outer - Segmented - Electrode Surface ION Traps Saleem ,International Journal of Scientific & Engineering Research,nternational Journal of Scientific & Engineering Research,3.2,http://www.ijser.org/,2013,4, 2229 - 5518 ,
358,"YAG laser Nek. M. Shaikha,   M.S. Kalhoroa,  Abid Hussaina,  M.A. Baigb","Spectroscopic study of a lead plasma produced by the 1064 nm, 532 nm and 355 nm of a Nd:, c Spectrochimica",Spectrochimica Acta Part B-Atomic Spectroscopy, Acta Part B: Atomic Spectroscopy ,3.15,http://www.sciencedirect.com/science/journal/05848547,2013,"vol 88, 1",198-202,
359,"Nek. M. Shaikha, b, c, , ,  M.S. Kalhoroa,  Abid Hussaina,  M.A. Baigb","Spectroscopic study of a lead plasma produced by the 1064 nm, 532 nm and 355 nm of a Nd:YAG laser ",Spectrochimica Acta Part B-Atomic Spectroscopy,Spectrochimica Acta Part B: Atomic Spectroscopy,3.15,http://www.sciencedirect.com/science/journal/05848547,2013,88,198-202,
272,"IB Solangi, F Özcan, G Arslan, M Ersöz,  ","Transportation of Cr (VI) through calix [4] arene based supported liquid membrane, ",Separation And Purification Technology,Separation and Purification Technology ,3.065,http://www.elsevier.com/wps/find/journaldescription.cws_home/600251/description#description,2013,118,470-478,
273," Asif Ali Bhatti, Shahabuddin Memon and Najma Memon. ",Dichromate Extraction by Calix[4]arene Appended Amberlite XAD-4 Resin. ,Separation Science And Technology,  Sep Sci Technol ,3.065,http://www.elsevier.com/wps/find/journaldescription.cws_home/600251/description#description,", 2014.",49 (5) ,664-672,
74,"Hassan Imran Afridi, Tasneem Gul Kazi, Dermot Brabazon, Sumsun Naher, Farah Naz Talpur",Comparative metal distribution in scalp hair of Pakistani and Irish referents and diabetic mellitus patients,Clinica Chimica Acta,Clinica Chimica Acta,2.764,http://www.elsevier.com/wps/find/journaldescription.cws_home/506018/description#description,2013,16;415:207,14,
75,"H. I. Afridi, T. G. Kazi, F.N. Talpur, D. Brabazon, Sumsun Naher",Estimation of toxic elements in the samples of different cigarette and their impact on human health of Irish hypertensive consumers,Clinica Chimica Acta,Clinica Chimica Acta,2.764,http://www.elsevier.com/wps/find/journaldescription.cws_home/506018/description#description,2013,426,51-57,
76,"H. I. Afridi, T. G. Kazi, D. Brabazon, Sumsun Naher",Comparative metal distribution in scalp hair of Pakistani and Irish referents and diabetic mellitus patients,Clinica Chimica Acta,Clinica Chimica Acta doi: 10.1016/j.cca.2012.10.029,2.764,http://www.elsevier.com/wps/find/journaldescription.cws_home/506018/description#description,2013,415,207-214,
112,"M. B. Arain T.G. Kazi, J. A. Baig, H. I. Afridi, Sarajuddin, K. D. Brahman, H. Panhwar, S.S. Arain",Co-exposure of arsenic and cadmium through drinking water and tobacco smoking: Risk assessment on kidney dysfunction,Environmental Science and Pollution Research,Environmental Science and Pollution Research,2.757,http://www.springer.com/environment/journal/11356,2014,1,,
113,"Tasneem Gul Kazi, Faheem Shah, Hafeezur Rehman, Hassan Imran Afridi, Naeemullah, Sadaf Sadia Arain",Exposure of lead to mothers and their new born infants residents of industrial and urban areas of Pakistan,Environmental Science and Pollution Research,Environmental Science Pollution Research journal,2.757,http://www.springer.com/environment/journal/11356,2014 accepted,accepted -2014,,
114,"S.S. Arain, T.G. Kazi , H.I. Afridi, J.A. Arain,  Naeemullah, K.D. Brahman, ",Determination of nickel in blood and serum samples of oropharyngeal cancer patients consumed smokeless tobacco products by cloud point extraction coupled with flame atomic absorption spectrometry. ,Environmental Science and Pollution Research,Environmental Science Pollution Research journal (accepted).,2.757,http://www.springer.com/environment/journal/11356,accepted,3,,
37,"hatti, A.A.; Memon S.; Memon N.; Bhatti, A.A. and Solangi,", B I.B. Evaluation of chromium(VI) sorption efficiency of modified Amberlite XAD-4 resin,Arabian Journal of Chemistry, Arab. J. Chem.,2.684,NA,2014 accepted,,,
38,"Memon, S. Kamboh, M.A.; Bhatti, A.A.; Solangi, I.B.; and Sherazi S.T.H. ",dsorption of direct black-38 azo dye on p-tert-butylcalix[6]arene immobilized material. ,Arabian Journal of Chemistry, Arab. J. Chem. ,2.684,NA,2014,7 ( 1) ,125–131 ,
39,"UA Qureshi, AR Solangi, S. Q Memon, SI Hyder Taqvi",Utilization of Pine Nut Shell derived carbon as an efficient alternate for sequestration of Phthalates from aqueous system,Arabian Journal of Chemistry, Arabian J. Chem DOI: 10.1016/j.arabjc.2013.08.018 4,2.684,NA,2013,,,
40," M. Ali, S.T.H. Sherazi, S.A. Mahesar.",Quantification of Erythromycin in Pharmaceutical Formulation by Transmission Fourier Transform Infrared Spectroscopy.,Arabian Journal of Chemistry,Arab J Chem ,2.684,NA,2013,,,
41,"Bhatti, A.A.; Memon S.; Memon N.; Bhatti, A.A. and Solangi, I.B",Evaluation of chromium(VI) sorption efficiency of modified Amberlite XAD-4 resin,Arabian Journal of Chemistry,Arab J Chem (Accepted),2.684,NA,2013,55,,
42,"Muhammad Afzal Kamboh, Asif Ali Bhatti, Imam Bakhsh Solangi, S.T.H. Sherazi, Shahabuddin Memon",ldentification of errors in antibiotics' prescriptions and,Arabian Journal of Chemistry,Arab J Chem A,2.684,NA,2013,,,
43,"Memon, S. Kamboh, M.A.; Bhatti, A.A.; Solangi, I.B.; and Sherazi S.T.H. ",Adsorption of direct black-38 azo dye on p-tert-butylcalix[6]arene immobilized material,Arabian Journal of Chemistry,Arab J Chem doi: 10.1016/j.arabjc.2013.06.033 (accepted),2.684,NA,accepted,,,
44,"Asif Ali Bhatti, Shahabuddin Memon, Najma Memon, Ashfaque Ali Bhatti, Imam Bakhsh Solangi","Evaluation of Chromium (VI) Sorption Efficiency of Modified Amberlite XAD-4 Resin,",Arabian Journal of Chemistry,Arabian Journal of Chemistry,2.684,NA,2013,,,
45,"S. T. H. Sherazi, Muhammad Ali, S. A. Mahesar,  ","Quantification of Erythromycin in Pharmaceutical Formulation by Transmission Fourier Transform Infrared Spectroscopy,",Arabian Journal of Chemistry,"Arabian Journal of Chemistry, (Accepted)",2.684,NA,accepted,,,
46," Umair A. Qureshi, Amber R. Solangi,  Saima Q. Memon,  S. Iqleem H. Taqvi,  ",Utilization of Pine Nut Shell derived Carbon as an efficient alternate for the sequestration of Phthalates from aqueous system,Arabian Journal of Chemistry,Arb J Chem 2013 (in press).,2.684,NA,2013,,,
34,"Minhas F.T., Memon S., Bhanger M.I., Nadeem I., and Mujahid M. ",Solvent Resistant Thin Film Composite Nanofiltration Membrane: Characterization and Permeation Study,Applied Surface Science, Appl. Surf. Sci,2.538,http://www.elsevier.com/wps/find/journaldescription.cws_home/505669/description#description,2013,282(1),887-897,
35," Y. Junejo, Sirajuddin, A. Baykal, M. Safdar, A. Balouch,","A novel green synthesis and characterization of Ag NPs with its ultra-rapid catalytic reduction of methyl green dye, Accepted in ",Applied Surface Science,  Appl. Surf. Sci   :,2.538,http://www.elsevier.com/wps/find/journaldescription.cws_home/505669/description#description,2014 ;,290 (1), 499–503.,
36,"K Khun, Zafar Hussain Ibupoto, C O. Chey, Jun Lu, Omer Nur and Magnus Willander   ",Comparative study of ZnO nanorods and thin films for chemical and biosensing applications and the development of ZnO nanorods based potentiometric strontium ion sensor,Applied Surface Science,Applied Surface Science,2.538,http://www.elsevier.com/wps/find/journaldescription.cws_home/505669/description#description,2013,268,37-43,
107,"K. Khun, Zafar Hussain Ibupoto and Magnus Willander   ",Urea Assisted Synthesis of Flower Like CuO Nanostructures and Their Chemical Sensing Application for the Determination of Cadmium Ions,Electroanalysis,Electroanalysis,2.502,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4109,2013,25(6,1425-1432,
102,"K. D Brahman, T. G. Kazi, H. I. Afridi, S. Naseem, S. S. Arain, S.K. Wadhwa, F. Shah ",Simultaneously evaluate the toxic levels of fluoride and arsenic species in underground water of Tharparkar and possible contaminant sources: A multivariate study ,Ecotoxicolgy and Environmental Safety,Ecotoxicol Environ Safety,2.482,http://www.sciencedirect.com/science/journal/01476513,2013,89,95-107,
103,"T. G. Kazi, A. Q. Shah, H. I. Afridi, N. A. Shah; M. B.Arain,",Hazardous impact of organic arsenical compounds in chicken feed on different tissues of broiler chicken and manure,Ecotoxicolgy and Environmental Safety,Ecotoxicol Environ Safety,2.482,http://www.sciencedirect.com/science/journal/01476513,2013,87,120-123,
104,"Arain, S.S., Kazi, T.G., Arain, J.B., Afridi, H.I., Brahman, K.D., Shah, F., Naeemullah, Panhwar, A.H","Simultaneous preconcentration of toxic elements in artificial saliva extract of smokeless tobacco product, mainpuri by cloud point extraction method Ecotoxicology and environmental safety",Ecotoxicolgy and Environmental Safety,Ecotoxicol Environ Safety ,2.482,http://www.sciencedirect.com/science/journal/01476513,2013,"92,",289–296.,
105,"T. G. Kazi, A. Q. Shah, H. I. Afridi, N. A. Shah; M. B.Arain,  ",Hazardous impact of organic arsenical compounds in chicken feed on different tissues of broiler chicken and manure,Ecotoxicolgy and Environmental Safety,Ecotoxicolgy and Environmental Safety doi: 10.1016/j.ecoenv.2012.10.012,2.482,http://www.sciencedirect.com/science/journal/01476513,2012,87,120-123,
106,"Arain, S.S., Kazi, T.G., Arain, J.B., Afridi, H.I., Brahman, K.D., Shah, F., Naeemullah, Panhwar, A.H  ","Simultaneous preconcentration of toxic elements in artificial saliva extract of smokeless tobacco product, mainpuri by cloud point extraction method Ecotoxicology and environmental safety",Ecotoxicolgy and Environmental Safety,Ecotoxicology and Environmental Safety,2.482,http://www.sciencedirect.com/science/journal/01476513,2013,92,",289–296",
245,"Mazhar Ali Abbasi, Zafar Hussain Ibupoto, Mushtaque Hussain, Omer Nur and Magnus Willander   ",The fabrication of white light-emitting diodes using the n-ZnO/NiO/p-GaN heterojunction with enhanced luminescence,Nanoscale Research Letters,Nanoscale Research Letters,2.481,http://www.springer.com/materials/nanotechnology/journal/11671,2013,8(320),,
238," Hussain, A.I., Anwar, F., Chatha, S.A.S., Latif, S., Sherazi, S.T.H., Ahmad, A., Worthington, J., Sarker, S.D","Chemical composition and bioactivity studies of the essential oils from two Thymus species from the Pakistani flora, ",Lebensmittel-Wissenschaft Und-Technologie-Food Science And Technology,LWT - Food Sci Technol ,2.468,http://www.elsevier.com/wps/find/journaldescription.cws_home/622910/description,2013,"50,", 185-192,
121,"Zaheer A. Chandio, Farah N. Talpur, Humaira Khan, H.I. Afridi, Ghulam Quadir Khaskheli","Determination of cadmium and zinc in vegetables with online FAAS after simultaneous pre-concentration with 1,5-diphenylthiocarbazone immobilised on naphthalene.",Food Additives & Contaminants Part A, Food Addi & Contam: Part A,2.341,http://www.tandf.co.uk/journals/titles/0265203X.asp,2013,30(1),110-113,
124,"amran Abro, S. A. Mahesar, Seema Iqbal, Shahnaz Perveen.",K Quantification of malachite green in fish feed samples utilizing liquid chromatography tandem mass spectrometry with monolithic column. ,"Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","Food Addit Contam Part A, ",2.341,http://www.tandf.co.uk/journals/titles/0265203X.asp,"2014,  ","31 (5),",827-32.,
125,"Zaheer A. Chandio, Farah N. Talpur, Humaira Khan, H.I. Afridi, Ghulam Quadir Khaskheli.  ","Determination of cadmium and zinc in vegetables with online FAAS after simultaneous pre-concentration with 1,5-diphenylthiocarbazone immobilised on naphthalene",Food Additives & Contaminants: Part A,Food Additives & Contaminants: Part A,2.341,http://www.tandf.co.uk/journals/titles/0265203X.asp,2013,30(1),110-113,
269,"Azam Khan, Mushtaque Hussain, Mazhar Ali Abbasi, Zafar Hussain Ibupoto, Omer Nur and Magnus Willander    ",Study of transport properties of copper/zinc-oxide-nanorods-based Schottky diode fabricated on textile fabric,Semiconductor Science And Technology,Semiconductor Science and Technology,2.206,http://www.iop.org/Journals/0268-1242,2013,28(12),125006,
351,"A. R. Khaskheli, Sirajuddin,   S.T.H. Sherazi, S.A. Mahesar, Aftab A. Kandhro, Nazar Kalwar, M. Ali Mallah",Estimation of ibuprofen in urine and tablet formulations by Transmission Fourier Transform Infrared Spectroscopy by partial least square,Spectrochimica Acta Part A-Molecular And Biomolecular Spectroscopy,Spectrochim Acta A ,2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description,2013,102,403 – 407,
352,"A. A. Kandhro, A. H. Laghari, S. A. Mahesar, R. Saleem, A. Nelofar, S. T. Khan, S. T. H. Sherazi.",Application of Attenuated Total Reflectance Fourier Transform Infrared Spectroscopy for Determination of Cefixime in Oral Pharmaceutical Formulations.,Spectrochimica Acta Part A-Molecular And Biomolecular Spectroscopy,Spectrochim Acta part A ,2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description,"2013,",115,51-56.,
353," S.Khan, M. Soylak, T.G. Kazi",Rapid ionic liquid-based ultrasound assisted dual magnetic microextraction to preconcentrate and separate cadmium -4-(2-thiazolylazo)-resorcinol complex from environmental and biological samples.,Spectrochimica Acta Part A-Molecular And Biomolecular Spectroscopy,Spectrochimica Acta Part A,2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description, (2014)  .,"123, ",194–199,
354,"A. A. Kandhro, A. H. Laghari, S. A. Mahesar, R. Saleem, A. Nelofar, S. T. Khan, S. T. H. Sherazi.  ",Application of attenuated total reflectance Fourier transform infrared spectroscopy for Determination of Cefixime in Oral Pharmaceutical Formulations. ,Spectrochimica Acta Part A-Molecular And Biomolecular Spectroscopy,"Spectrochimica Acta part A,",2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description,2013,115,",, 51-56.î",
355,"Salma Aslam Arain, Tasneem G Kazi, Hassan Imran Afridi, Abdul Rasool Abbasi, Abdul Haleem Panhwar, Naeemullah, Bhawani Shanker, Mohammad Bilal Arain, ",Application of dual-cloud point extraction for the trace levels of copper in serum of different viral hepatitis patients by flame atomic absorption spectrometry: A multivariate study,Spectrochimica Acta Part A-Molecular And Biomolecular Spectroscopy,Spectrochimica Acta Part A: (Accepted) 2014.,2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description,2014,,,
356,"Abdul Rauf Khaskheli, Siraj uddin, S.T.H. Sherazi, S.A. Mahesar, Aftab A. Kandhro, Nazar Kalwar, M. Ali,  ","Estimation of Ibuprofen in Urine and Tablet Formulations by Transmission Fourier Transform Infrared Spectroscopy by Partial Least Squares,",Spectrochimica Acta Part A-Molecular And Biomolecular Spectroscopy,"Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,",2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description,2013,102,", 403-407",
357,"Aftab A. Kandhro, Abdul Hafeez Laghari, Sarfaraz A. Mahesar, Rubina Saleem, Aisha Nelofar, Salman Tariq Khan, S.T.H. Sherazi, Y.  ","Application of Attenuated Total Reflectance Fourier Transform Infrared Spectroscopy for Determination of Cefixime in Oral Pharmaceutical Formulations,  ",Spectrochimica Acta Part A-Molecular And Biomolecular Spectroscopy,"Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,",2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description,2013," 115,"," 51-56,",
244,"Muhammad Taha 1, 3, *, Nor Hadiani Ismail 1, 3 , El Hassane Anouar 1 , Sammer Yousuf 4 , Waqas Jamil 5 , Khalijah ","Synthesis, crystal structure, DFT studies and evaluation of the antioxidant activity of 3, 4-dimethoxybenzenamine Schiff bases",Molecules,"Molecules, 2014 - mdpi.com ",2.095,http://www.mdpi.com/journal/molecules,2014,,,
200,"Shahabuddin Memon, Asif Bhatti, Najma Memon",New Calix[4]arene Appended Amberlite XAD-4 Resin with Versatile Perchlorate Removal Efficiency,Journal Of Chemical And Engineering Data,J Chem Eng Data,2.045,http://pubs.acs.org/journal/jceaax,2013,58(2013),2819-2827,
201,"Shahabuddin Memon, Asif Bhatti, Najma Memon",New Calix[4]arene Appended Amberlite XAD-4 Resin with Versatile Perchlorate Removal Efficiency,Journal Of Chemical And Engineering Data,Journal of Chemical & Engineering Data,2.045,ttp://pubs.acs.org/journal/jceaax,2013,58,2819-2827,
151,,synthesis of Tin(II)-rutin Complex: Exploration of Tin Packaging Hazards,Inorganica Chimica Acta, Journal Inorganica Chimica Acta.  (2013) 252-260 ,2.041,http://www.elsevier.com/wps/find/journaldescription.cws_home/504086/description,2013,"Volume, year,"," Pages: 407,",
152,"Panhwar, Q.K. and Memon, S.",Synthesis of Tin(II)-rutin Complex: Exploration of Tin Packing Hazards,Inorganica Chimica Acta,Inorg Chim Acta doi: 10.1016/j.ica.2013.08.001 ,2.041,http://www.elsevier.com/wps/find/journaldescription.cws_home/504086/description,accepted,,,
117,"S.T.H. Sherazi, S. Arain, S.A. Mahesar, M.I. Bhanger, A.R. Khaskheli",Erucic acid evaluation in rapeseed and canola oil by Fourier transform-infrared spectroscopy.,European Journal of Lipid Science and Technology,European Journal of Lipid Science and Technology,2.033,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1438-9312,2013,115(5),535-540,
118,"Syed Tufail Hussain Sherazi*, Sarfraz Arain, Sarfaraz Ahmed Mahesar, Muhammad Iqbal Bhanger, Abdul Rauf Khaskheli,  ",Trierucin evaluation in rapeseed and canola oil by Fourier transform-infrared spectroscopy,European Journal of Lipid Science and Technology,European Journal of Lipid Science and Technology,2.033,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1438-9312,2013,115,535-540,
119,"S.T.H. Sherazi, S. Arain, S.A. Mahesar, M.I. Bhanger, A.R. Khaskheli,  ",Erucic acid evaluation in rapeseed and canola oil by Fourier transform-infrared spectroscopy.,European Journal of Lipid Science and Technology,"European Journal of Lipid Science and Technology,",2.033,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1438-9312,2013,115,535-540,
26,"Zaheer A. Chandio,   Farah N. Talpur,  H. I. Afridi, Humaira Khan,  Ghulam Quadir Khaskheli and   Mazhar Iqbal Khaskheli",Online preconcentration of nickel(II) in textile effluent and soil samples by SDS coated alumina modified with dithizone mini-column coupled with FAAS,Analytical Methods,Anal Meth,1.938,http://pubs.rsc.org/en/journals/journalissues/ay,2013,5,4425-4429,
27," S. A. Mahesar, S. T. H. Sherazi, A. R. Khaskheli, A. A. Kandhro, Sirajuddin. ",Analytical approach for free fatty acids assessment in oils and fats.,Analytical Methods,Anal Meth Available online. ,1.938,http://pubs.rsc.org/en/journals/journalissues/ay,-2014,,,
28,"ZA Chandio, FN Talpur, HI Afridi, H Khan, GQ Khaskheli, MI Khaskheli",Online preconcentration of nickel (II) in textile effluent and soil samples by SDS coated alumina modified with dithizone mini-column coupled with FAAS  ,Analytical Methods,Analytical Methods ,1.938,http://pubs.rsc.org/en/journals/journalissues/ay,2013,5(17),4425-4429,
29,"ana Jawaid, Farah Naz Talpur, Hassan Imran Afridi, Shafi Ahmed Nizamani, Abid Ali Khaskheli and   Saba Naz.",S Quick determination of melamine in infant powder and liquid milk by Fourier Transform Infrared spectroscopy.,Analytical Methods,Analytical Methods. DOI: 10.1039/C4AY00558A,1.938,http://pubs.rsc.org/en/journals/journalissues/ay,(Accepted) 2014. ,,,
235,"Devanand L. Luthria, Ayaz Ali Memon, Keshun Liu.",Changes in the Individual and Total Phenolic Acid Content during Commercial Dry-grind Processing of Corn to Ethanol and DDGS.,Journal Of The Science Of Food And Agriculture,"J Sci Food Agric 77)   ,   2013, 87:2511-2518.",1.879,http://onlinelibrary.wiley.com/journal/,2013,77,87,
241,"Zafar Hussain Ibupoto, Kimleang Khun, Martin Eriksson, Mohammad AlSalhi, Muhammad Atif, Anees Ansari and Magnus Willander    ",Hydrothermal Growth of Vertically Aligned ZnO Nanorods Using a Biocomposite Seed Layer of ZnO Nanoparticles,Materials,Materials,1.879,http://www.mdpi.com/journal/materials,2013,6(8),3584-3597,
115,"TG Kazi, F Shah, HI Afridi, MA Mughal, SS Arain, MB Arain",Evaluation of lead levels in biological samples of mentally retarded children in different stages using advanced extraction method. ,Environmental Toxicology and Pharmacology,Environmental toxicology and pharmacology,1.862,http://www.elsevier.com/wps/find/journaldescription.cws_home/523024/description#description,2013,36(3),858-864,
70,"Sumaira Khan, T. G. Kazi, M. B. Arain, N. F. Kolachi, J. A. Baig, H. I. Afridi, A. Q. Shah",Evaluation of bioavailability and partitioning of Aluminum in sediment samples of different eco-systems by modified sequential extraction methods,"Clean Air, Soil and Water","Clean air, soil and water",1.838,http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291863-0669,2013,41(8),808-815,
71,"S.Khan, M. Soylak, T.G. Kazi, ",Vortex assisted liquid-liquid microextraction using Triton X-114 as dispersant for ultratrace cadmium prior to its micro-sample injection flame atomic absorption spectrometric detection.,"Clean Air, Soil and Water","Clean air, soil and water  doi:10.1002/clen.201300486",1.838,http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291863-0669,2014,,,
72,"Qureshi, I.; Memon, S. and Yilmaz, M. ",Novel Calix[4]arene-based Amberlite XAD-4 Modified Resin for As(III) Removal from Water,"Clean Air, Soil and Water","CLEAN-Soil, Air, Water",1.838,http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291863-0669,2013,41(3),258-266,
73,"S. Khan, T. G. Kazi, M. B. Arain, N. F. Kolachi, J. A. Baig, H. I.  Afridi, A. Q. Shah,  ","Evaluation of bioavailability and partitioning of Aluminum in sediment samples of different ecosystems by modified sequential extraction methods,","Clean Air, Soil and Water","CLEAN–Soil, Air, Water   http://dx.doi.org/10.1002/clen.201000197 ",1.838,http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291863-0669,2013,92,,
371," Tasneem Gul Kazi, Faheem Shah, Hassan Imran Afridi and Naeemullah,", Occupational and environmental lead exposure to adolescent workers in battery recycling workshops.,Toxicology and Industrial Health,  Toxicology and Industrial Health,1.71,http://tih.sagepub.com/,2014,,,
372,"T.G. Kazi, F. Shah, H. I.Afridi and Naeemullah,  ",Occupational and environmental lead exposure to adolescent workers in battery recycling workshops,Toxicology and Industrial Health,Toxicology and Industrial Health doi: 10.1177/0748233713485883,1.71,http://tih.sagepub.com/,2013,178,,
